"","Title","PublicationDate","Authors","Subject","Keywords","DataType","Objectives","PeriodCovered","Affiliations","NameOfDataverse","DOI"
"33","Market validation through customer-focused sensory analysis of functional bakery goods","2022-06-24","Sharma, Madhu; Duizer, Lisa","Agricultural Sciences","bread mix; muffin mix; consumer survey response","Survey data","With growing market demand for healthy diet, more and more people are looking for easy-to use, healthy, and tasty bakery products. The pandemic had seen an increase in home baking with people desiring to bake their own bread and cakes. Sourdough is considered to be healthier and tastier than conventional bread due to long fermentation times. This bread must be made from scratch, requiring time and resources. A company has developed a ready-to-use dry multigrain sourdough bread mix using local ingredients that takes less time to prepare while still allowing consumers to have a home baking experience. A sugar-free cake mix was also formulated which could be used to make cakes, muffins, and cup cakes. This healthy high-fibre mix is a basic mix which has endless possibilities of making variations as per customers choice such as adding raspberry, blueberry, or chocolate. Market validation is needed to better understand the potential market demand and consumer requirements for the product attributes of these two products (e.g., flavor, texture, ingredient, price etc.). For the test, the mixes were home delivered to the interested participants. They had to bake the products, taste them and complete an online survey. The survey had questions on various aspects - demographics, product baking experience, taste and texture of product, liking, recommendation, consumption and purchase intent.","2021-09-01 to  2021-12-31","Department of Food Science. Ontario Agricultural College. University of Guelph.; Department of Food Science. Ontario Agricultural College. University of Guelph.","Department of Food Science","doi:10.5683/SP3/4RA3KT"
"34","Major Coloured Bean Registration Trials, Elora, Kippen, Monkton, St. Thomas and Woodstock, Ontario [Canada] 2012","2013-06-28","Navabi, Dr. Ali; Pauls, Dr. Peter","Agricultural Sciences","Applied genetic research; Coloured bean varieties; Common bacterial blight; Cranberry; Dark red kidney; Disease tolerance; Dry beans; Field bean breeding; Light red kidney; Productivity; White kidney; White mould","Experimental data","This study is part of the Field Bean Breeding Program, a multi-disciplinary approach towards developing bean varieties for sustainable dry bean production in Ontario. As part of this program, registration and performance tests are conducted annually at various locations across the main bean growing areas in Ontario. This study provides the results of the 2012 Major Coloured Bean Registration Trial where several varieties of coloured beans were evaluated in multi-location yield-trials across Ontario.  Coloured bean entries were planted in four replicated test plots at five locations across Ontario; Elora, Kippen, Monkton, St. Thomas, and Woodstock. Agronomic data including yield (adjusted to 18% moisture after combine harvest), days to maturity (number of days from planting to maturity), seed weight (estimated for 100 seeds), and seed quality were collected for each plot in each location.  White mould and common bacterial blight resistance were tested at Agriculture and Agri-Food Canada (AAFC) Greenhouse and Processing Crops Research Centre (GPCRC), Harrow, Ontario.","2012 to  2012","Agriculture Agri-Food Canada/Department of Plant Agriculture. Ontario Agricultural College.  University of Guelph; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph","Department of Plant Agriculture","hdl:10864/5YE7Z"
"35","Glyphosate-resistant Canada fleabane (Conyza canadensis (L.) Cronq.) in Ontario: Distribution and Control in Soybean (Glycine max (L.) Merr.): Essex, Leamington, Wheatley, and Windsor, Essex County, Ontario [Canada] 2011 and 2012","2013-10-30","Byker, Holly; Sikkema, Peter","Agricultural Sciences","Canada fleabane; Canada horseweed; Conyza canadensis (L.) Cronq.; Erigeron canadensis (L.); Glycine max (L.) Merr.; Glyphosate-resistant; herbicide; postemergence; preplant; soybean","Experimental","This dataset is comprised of two surveys examining the control of glyphosate resistant Canada Fleabane in soybean with 1) preplant herbicide tankmixes and 2) postemergence herbicides. The objective of the first survey was to identify preplant herbicide tankmixes that provide effective control of glyphosate-resistant Canada fleabane. Twelve field trials were conducted over a two year period (2011, 2012) at four farm locations in Essex County, Ontario to evaluate preplant herbicide tankmixes in glyphosate-resistant soybean for the control of Canada fleabane populations previously identified to be resistant to glyphosate. The first trial evaluated herbicides applied preplant with limited residual activity (Enhanced Burndown) while the second trial evaluated herbicides with residual activity for season long weed control (Burndown plus Residual).  The objective of the second survey was to evaluate glyphosate and postemergence soybean herbicide efficacy on glyphosate-resistant Canada fleabane. Twelve field trials were conducted over a two year period (2011, 2012) at four farm locations in Essex County, Ontario. The first set of trials evaluated the level of glyphosate resistance in these populations (Biologically Effective Rate of Glyphosate) while the second set evaluated herbicides applied following soybean emergence (Postemergence Tankmixes).","2011 to  2012","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus","Department of Plant Agriculture","hdl:10864/S52LF"
"36","The Genetic Architecture of Flowering Time and Related Traits in Two Early Flowering Maize Lines 2007 [Canada]:  Bioinformatics and Quantitative Genetics","2013-01-03","Lukens, Lewis","Agricultural Sciences","Agronomy; Bioinformatics; Genetic correlation; Genetic variations; Inbred lines; Maize; Quantitative genetics; Phenotype correlation; Recombinant inbred line; Single-seed descent recombinant inbred line","Experimental data","Flowering time is the major factor in determining maize (Zea mays L.) maturities. Genetic bases of flowering time and other agronomically important traits were examined in a set of interheterotic-pattern recombinant inbred lines (RILs). The RILs were developed from crossing the short-season Iodent inbred line CG60 with the short-season Stiff Stalk inbred line CG102. Recombinant inbred lines were derived through single-seed descent (S-RILs) or intermated for three generations before inbreeding (I-RILs), thereby increasing recombination. In this study the genetic means, covariances, and variances of flowering time (days to anthesis, DA, and days to silking, DS) and a number of flowering-time-associated traits, leaf number (LN), plant height (PH), and stay green (SG), in a set of short-season, interheterotic-pattern recombinant inbred lines (RILs) representing two levels of intermating were examined. The objectives were: (1) to evaluate the genetic basis of DA, DS, LN, PH, SG, and canopy reflectance traits within the short-season parental lines, (2) to evaluate genetic and phenotypic correlations between DA, DS, LN, PH, SG, and canopy refl ectance traits, and (3) to evaluate whether disruption of putative coupling and repulsion phase linkage blocks causes changes in population means, genetic variances, and genetic correlations.","2007-05-09 to  2007-08","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","hdl:10864/VPCWE"
"37","Hybrid Maize Trials 2007 to 2008 [Alma, Elora, and Waterloo, Ontario, Canada]:  Bioinformatics and Quantitative Genetics","2013-03-11","Lukens, Lewis","Agricultural Sciences","Agronomy; Bioinformatics; Hybridization; Maize","Experimental data","To produce adapted maize hybrids, inbred lines are often independently selected from distinct populations. We investigate the genetic basis of two elite maize inbreds’ adaptation to a short-season environment to determine if selection for inbreds in different populations leads to the development of inbred lines with large but hidden genetic differences. We developed selfed recombinant inbred lines (SRILs) and intermated recombinant inbred lines (IRILs) from two early-season adapted lines and examined trait variation within hybrids between these lines and a tester. Hybrids’ flowering time, leaf number, stay green, yield, and yield component traits were measured in multiple locations.","2007 to  2008","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","hdl:10864/10277"
"38","Evaluation of insecticides for control of onion maggot in yellow cooking onions [Canada] 2011:  Onion cultivar trial.","2012-05-25","McDonald, Mary Ruth","Agricultural Sciences","Crop management; Crop protection; Insecticides; Muck crops; Plant disease management; Plant pathology; Onion maggot","Experimental data","Various seed treatments for yellow cooking onions were evaluated in a field trial on organic soil naturally infested with Delia antiqua pupae at the Muck Crops Research Station, Holland Marsh, Kettleby, Ontario (2011). There were eleven different insecticide treatment units and one untreated control unit. A randomized complete block design with four replicates per treatment was used.  Three 2 metre plots were staked out in each experimental unit in which measurements were made.  All onions were seeded on 10 May.  Germination counts were conducted on 30 May and 6 June to determine initial stands prior to the first generation assessment.  Plants were examined for onion maggot or damage caused by other pests within the staked out sections on 21 June and 5 July.   At this time damaged plants were removed and the cause recorded.  Onion maggot damage was recorded two weeks after the first (30 June) and second generation (22 August) peaks and at onion bulb maturity (22 September).  Bulbs were harvested (12 September), counted and weighed (6 January 2012) to determine yield.","2011-05-30 to  2012-01-06","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","hdl:10864/CO0DC"
"39","Canadian Bean Adaptation Trials Elora and St.Thomas, Ontario, Lethbridge and Morden, Alberta, Outlook and Saskatoon, Saskatchewan [Canada] 2010 and 2012","2013-06-28","Navabi, Dr.Ali; Pauls, Dr.Peter","Agricultural Sciences","Adaptation trials; Applied genetic research; Bean varieties; Black; Common bacterial blight; Cranberry; Dark red kidney; Disease tolerance; Field bean breeding; Great Northern; Navy; Pedigree; Pinto; Productivity; Small red; Yellow","Experimental data","This study is part of the Field Bean Breeding Program, a multi-disciplinary approach towards developing bean varieties for sustainable dry bean production in Ontario. As part of this program, adaptation trials are conducted annually at various locations across the main bean growing areas in Canada. This study provides the results of the 2010 and 2012 Canadian Bean Adaptation Trials (CBAP) where several varieties of beans were evaluated in multi-location yield-trials across Canada.  In 2010, bean entries were planted in replicated test plots at five locations across Canada; Elora, Ontario, Lethbridge, Alberta, Morden, Alberta, Saskatoon, Saskatchewan, and St.Thomas, Ontario, however, the 2010 CBAP file only includes trial data for Elora, Morden, and St.Thomas.  In 2012, bean entries were planted in replicated test plots at five locations across Canada; Elora, Ontario, Lethbridge, Alberta, Morden, Alberta, Outlook, Saskatchewan, and St.Thomas, Ontario. Agronomic data including yield (adjusted to 18% moisture after combine harvest), days to maturity (number of days from planting to maturity), seed weight (estimated for 100 seeds), and seed quality were collected for each plot in each location.","2010 to  2012","Agriculture Agri-Food Canada/Department of Plant Agriculture. Ontario Agricultural College. University of Guelph; Department of Plant Agriculture. Ontario Agricultural College.  University of Guelph","Department of Plant Agriculture","hdl:10864/GCAD1"
"40","Control and distribution of glyphosate-resistant giant ragweed in Ontario: Windsor, LaSalle, and Amherstburg, Essex County, Ontario [Canada] 2011 and 2012","2013-10-30","Follings, Joanna; Sikkema, Peter","Agricultural Sciences","Ambrosia trifida L.; giant ragweed; Glycine max L.; Glyphosate-resistant; herbicide; postemergence; preplant; soybean","Experimental","This dataset is comprised of two surveys examining the control of glyphosate resistant giant ragweed in soybean with 1) preplant herbicides and 2) postemergence herbicides and 2,4-D dose response. The objective of the first survey was to determine effective control options for glyphosate resistant giant ragweed in soybean with herbicides applied preplant. Eighteen herbicide combinations were evaluated in field studies conducted in 2011 and 2012 at five locations with confirmed glyphosate resistant giant ragweed. The field sites were located near Windsor (L2 and L5), LaSalle (L1 and L4) and Amherstburg (L3), Essex County, Ontario. Two sets of experiments evaluating the effectiveness of glyphosate tankmixes with herbicides applied preplant were conducted. The first experiment (enhanced burndown) evaluated herbicides applied preplant (PP) that provided limited or no residual control. The second experiment (burndown plus residual) evaluated herbicides applied PP that provided burndown plus residual control. The second survey had two objectives; this first being to determine the efficacy of all the currently registered postemergence broadleaf herbicides registered for use in Ontario in soybean and the second objective was to determine the lowest effective rate of 2,4-D tank mixed with glyphosate and applied as a preplant burndown for control of glyphosate-resistant giant ragweed in soybean. Field studies were conducted in 2011 and 2012 at six locations for the postemergence broadleaf herbicide experiment and five locations for the 2,4-D dose response experiment with confirmed glyphosate resistant giant ragweed. The field sites were located near Windsor (L2 and L5), LaSalle (L1, L4 and L6) and Amherstburg (L3), Essex County, Ontario. The first series of experiments evaluated the effectiveness of ten postemergence broadleaf herbicide combinations. The second series of experiments, referred to as “dose response” evaluated the biologically effective rate of seven rates of 2,4-D.","2011 to  2012","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus","Department of Plant Agriculture","hdl:10864/F3FYT"
"41","Ontario White Bean Registration and Performance Trials, Blyth, Brussels, Elora, Kippen, Highbury, St. Thomas and Woodstock, Ontario [Canada] 2011 and 2012","2013-06-28","Navabi, Dr. Ali; Pauls, Dr. Peter","Agricultural Sciences","Anthracnose; Applied genetic research; White bean varieties; Common bacterial blight; Disease tolerance; Field bean breeding; Productivity; Root rot; White mould","Experimental data","This study is part of the Field Bean Breeding Program, a multidisciplinary approach towards developing bean varieties for sustainable dry bean production in Ontario. As part of this program, registration and performance tests are conducted annually at various locations across the main bean growing areas in Ontario. This study provides the results of the 2011 and 2012 White Bean Registration and Performance Trials where several varieties of white beans were evaluated in multi-location yield-trials across Ontario.   In 2011, white bean entries were planted in four replicated test plots at six locations across Ontario; Brussels, Elora, Highbury,  Kippen, St. Thomas, and Woodstock. In 2012, white bean entries were planted in four replicated test plots at six locations across Ontario; Blyth, Elora, Highbury, Kippen, St. Thomas, and Woodstock. Agronomic data including yield (adjusted to 18% moisture after combine harvest), days to maturity (number of days from planting to maturity), seed weight (estimated for 100 seeds), and seed quality were collected for each plot in each location.  Disease resistance data including common bacterial blight, anthracnose, root rot, and white mould is also included.","2011 to  2012","Agriculture Agri-Food Canada/Department of Plant Agriculture. Ontario Agricultural College.  University of Guelph; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph","Department of Plant Agriculture","hdl:10864/AVJBX"
"42","Glyphosate-Resistant Giant Ragweed (Ambrosia trifida L.) in Ontario: Survey and Control in Soybean (Glycine max L.) Windsor, Belle River, LaSalle, and Amherstburg, Essex County, Ontario [Canada] 2010 and 2011","2013-10-30","Vink, Joseph; Sikkema, Peter","Agricultural Sciences","Ambrosia trifida L.; giant ragweed; Glycine max L.; Glyphosate-resistant; herbicide; postemergence; preplant; soybean","Experimental","This dataset is comprised of two surveys examining the control of glyphosate resistant giant ragweed (Ambrosia trifida) in soybean (Glycine max) with 1) preplant herbicides and 2) postemergence herbicides.  The objective of the first survey was to evaluate the efficacy of various preplant herbicides for the control of glyphosate-resistant giant ragweed under field conditions in Ontario. A total of 11 field experiments were established on Ontario farms with glyphosate-resistant giant ragweed over a two-year period (2010 and 2011). One set of experiments evaluated herbicides with limited residual activity (enhanced burndown), and a second set of experiments evaluated glyphosate tank mixes with residual herbicides for full season control (burndown plus residual). In 2010, there was one enhanced burndown and one burndown plus residual trial at a location near Windsor (L1). In 2011, there were four enhanced burndown and five burndown plus residual trials at locations near Windsor (L2 and L3), Belle River (L4), LaSalle (L5) and Amherstburg (L6).   The objective of the postemergence survey was to determine the level of resistance to glyphosate in different giant ragweed populations, and evaluate the efficacy of various postemergence herbicides for the control of glyphosate-resistant giant ragweed in soybean under field conditions in Ontario. A total of ten field experiments were established on Ontario farms with glyphosate-resistant giant ragweed in 2011. One set of experiments evaluated the response of giant ragweed to varying doses of glyphosate (field dose response), and another set evaluated various herbicides registered for postemergence application in soybean. The experiments were conducted at locations near Windsor (L1 and L2), Belle River (L3), LaSalle (L4) and Amherstburg (L5).","2010 to  2011","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph Ridgetown Campus","Department of Plant Agriculture","hdl:10864/OKQZV"
"43","Common bean (Phaseolus vulgaris) Heirloom-Conventional Panel (HCP) single nucleotide polymorphism genotype data","2019-05-06","Wilker, Jennifer; Pauls, K. Peter","Agricultural Sciences","SNP marker; common bean; Phaseolus vulgaris; heirloom varieties; conventional varieties","single nucleotide polymorphism (SNP) genotype data; HAPMAP format","DNA was isolated from leaf tissue of young bean plants of each genotype grown in controlled-environment conditions at the University of Guelph.  The NucleoSpin Plant II kit (Macherey-Nagel, Germany) or the DNeasy Plant Mini Kit (Qiagen, Canada) was used to extract DNA, following standard protocols.  Genomic DNA was analyzed at the Genome Quebec Innovation Centre (McGill University, Montreal) for single nucleotide polymorphisms (SNPs) using the Illumina Infinium iSelect Custom Genotyping BeadChip (BARCBEAN6K_3) containing 5398 SNPs (Song et al., 2015).  SNP data was aligned to Pv 02 build of the Phaseolus vulgaris genome.  SNP data was used for identity by state and nucleotide diversity analyses.","2016-10 to  2016-10","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP2/NZY3W5"
"44","Increasing lodging resistance in oats for enhanced quality and yield","2020-06-17","Nasielski, Joshua","Agricultural Sciences","oats; agronomy; lodging","Experimental data","Data collected from the ""Increasing lodging resistance in oats for enhanced quality and yield"" field trial. The trial took place in 2020 and 2021 at the New Liskeard and Winchester Research Stations. Five agronomy management practices were tested: row spacing, seeding rate, seeding depth, split-nitrogen fertilizer applications, use of a plant growth regulator. Various crop and soil data were collected, including yield, yield components, grain quality, lodging (visual rating), root safety factor.","2020-04 to  2020-09","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP2/CSROC9"
"45","Increasing lodging resistance in oats for enhanced quality and yield","2020-06-17","Nasielski, Joshua","Agricultural Sciences","oats; agronomy; lodging","Experimental data","Data collected from the ""Increasing lodging resistance in oats for enhanced quality and yield"" field trial. The trial took place in 2020 and 2021 at the New Liskeard and Winchester Research Stations. Five agronomy management practices were tested: row spacing, seeding rate, seeding depth, split-nitrogen fertilizer applications, use of a plant growth regulator. Various crop and soil data were collected, including yield, yield components, grain quality, lodging (visual rating), root safety factor.","2021-04 to  2021-09","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP2/CSROC9"
"46","Common bean (Phaseolus vulgaris) Honduran Panel (HON) genetic diversity analysis raw data, genotype description tables, raw phenotypic data, and single nucleotide polymorphism genotype data","2020-08-31","Wilker, Jennifer; Pauls, K. Peter; Torkamaneh, Davoud; Gomez, Marvin; Ronas, J.C.","Agricultural Sciences","Honduran bean germplasm; landrace; bean landraces; participatory plant breeding; nucleotide diversity; genetic differentiation; small red bean; black bean; common bean; Mesoamerican genepool; nitrogen fixation; carbon discrimination; days to flowering; days to maturity; yield; SNP marker; Phaseolus vulgaris","nucleotide diversity and genetic differentiation values; genotype names, market class, breeding history, and seed source; phenotypic experimental measurements; single nucleotide polymorphism (SNP) genotype data (HAPMAP format)","<p>The study examined genetic diversity and agronomic, nitrogen-fixing, and water use efficiency traits among a panel of Honduran common beans (including landraces, varieties developed through participatory plant breeding, and conventional varieties bred for Central and North America).</p>
<p><b>Genetic diversity</b>: Genetic diversity was calculated in VCFtools software using the SNP data set (see accompanying repository file) to determine nucleotide diversity (π values) and genetic differentiation (F<sub>ST</sub> values). The π statistic provides an indication of polymorphism within a population as measured by nucleotide diversity, and Tajima’s D (D) provides an indication of selection pressure. Both π and D were measured in sliding windows of 1 Mb across the genome using the --window-pi and --TajimaD options in VCFtools, which resulted in an average of 6 SNPs per window. The pairwise π and D values were also calculated among different subpopulations. Genome-wide averages of π and D for each breeding history category were generated by taking the average across all windowed calculations. Landrace and PPB π values were compared across the genome, and regions where landrace π exceeded PPB π by more than 3× were considered highly differentiated, and the regions that were at least 25,000 bp in length were considered significant. To investigate the level of differentiation between the landrace and PPB genotypes the F<sub>ST</sub> statistic was computed. F<sub>ST</sub> was calculated using the --weir-fst-pop option in VCFtools in sliding windows of 100 bp across the genome. Weighted F<sub>ST</sub> values range from 0 with no genetic differentiation, to 1 where fixation of alleles has occurred. F<sub>ST</sub> values exceeding 0.5 were considered significant in our analysis.</p>
<p><b>Genotype descriptions</b>: We examined trait diversity, significant differences between genotypes, and trait correlation for the panel overall, and by breeding history category. Agronomic traits (days to flowering, days to maturity, leaf chlorophyll content, hundred seed weight, yield) were measured in low-nitrogen field trials at the University of Guelph Elora research station (2014, 2015) and at Yorito, Honduras (2014-2015). These tables present a comprehensive description of the germplasm used in this study.</p>
<p><b>Phenotype data</b>: We examined trait diversity, significant differences between genotypes, and trait correlation for the panel overall, and by breeding history category. Agronomic traits (days to flowering, days to maturity, leaf chlorophyll content, hundred seed weight, yield) were measured in low-nitrogen field trials at the University of Guelph Elora research station (2014, 2015) and at Yorito, Honduras (2014-2015). Seed composition traits (nitrogen discrimination [δ<sup>15</sup>N], carbon discrimination [δ<sup>13</sup>C]) were measured using gas-chromatography-mass-spectometry at the Agriculture-Agrifood Canada facility in Lethbridge, Alberta. Percent nitrogen derived from the atmosphere (%Ndfa) was calculated using normalized δ<sup>15</sup>N values with the formula described by Shearer and Kohl, 1988.</p>
<p><b>SNPs</b>:  DNA was isolated from leaf tissue of young bean plants of each genotype grown in controlled-environment conditions at the University of Guelph. The NucleoSpin Plant II kit (Macherey-Nagel, Germany) or the DNeasy Plant Mini Kit (Qiagen, Canada) was used to extract DNA, following standard protocols. Genomic DNA was analyzed at the Genome Quebec Innovation Centre (McGill University, Montreal) for single nucleotide polymorphisms (SNPs) using the Illumina Infinium iSelect Custom Genotyping BeadChip (BARCBEAN6K_3) containing 5398 SNPs (Song et al., 2015). SNP data was aligned to Pv 02 build of the Phaseolus vulgaris genome. SNP data was used for identity by state and genetic diversity analyses.</p>"," to  ","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Zamorano Univesity. Honduras.; Zamorano Univesity. Honduras.","Department of Plant Agriculture","doi:10.5683/SP2/DJB7VY"
"47","Analysis of rubber yield selection gain in Russian Dandelion","2021-04-27","Wolyn, David; Innes, Gregory","Agricultural Sciences","Taraxacum kok-saghyz; Russian Dandelion; rubber percentage; rubber yield; root dry weight; breeding","Experimental data; Quantitative data of rubber yield, rubber percentage, root dry weight, and plant survival","The project evaluated three breeding populations, Cycle 0 (C0), C4 and C8, representing an unselected Russian Dandelion population, and those derived from four and eight cycles of recurrent selection, respectively, for rubber yield, at two sites on each of the Simcoe and Woodstock Research Stations.  The pupose of the experiment was to evaluate response to selection.  At each site a randomized complete block design with four replicate blocks was established.","2020-10 to  2021-01","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP2/UYORM4"
"48","Hyperspectral time series datasets of maize during the grain filling period","2021-06-14","Craig, Valerie; Earl, Hugh; Sulik, John; Lee, Elizabeth A.","Agricultural Sciences","black layer; Dual-Channel Unispec; hyperspectral remote sensing; maize; physiological maturity; reflectance; spectral; Zea mays L.","Time series collection of hyperspectral data from maize research plots","Remotely sensed hyperspectral data are increasingly being used to assess crop development and growth throughout the growing season. Large datasets capturing key growth stages can be useful to researchers studying many physiological plant responses. This dataset represents a time series analysis of hyperspectral reflectance measurements taken during the grain filling period across two growing years, two planting dates and 16 maize hybrids. These datasets show how canopy reflectance within the visible and near-infrared portion of the electromagnetic spectrum change as plants approach, reach, and pass physiological maturity.","2017-08-25 to  2018-09-27","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP2/1ZVWFV"
"49","Supplemental data for: Genome-wide association study of seed folate content in common bean.","2021-08-05","Martin, C. Joe; Pauls, K. Peter","Agricultural Sciences; Chemistry; Medicine, Health and Life Sciences","folate; Vitamin B9; GWAS; QTL; nutrition","Experimental","Total seed folate content in 96 accessions of common bean (Phaseolus vulgaris L.). Accessions were grown in 2015 and 2016 at Elora Research Station. Folate was extracted using the tri-enzyme method and quantified using the microbiological assay. Genotypic data for the 96 accessions are included in this submission. The folate extraction and quantification methodology, genotyping platform, and experimental design are described in detail in the doctoral dissertation <a href=""https://hdl.handle.net/10214/18135"">Characterization of folate biosynthesis genes in Phaseolus vulgaris and Glycine max and genome-wide association study for seed folate content in Phaseolus vulgaris</a>.","2015 to  2016","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP2/Q76AWD"
"50","Weed management in Carrots and Onions 2021","2022-03-08","Swanton, Clarence; Smith, Peter","Agricultural Sciences","linuron resistance; pigweed; weed management; onion; carrot; muck crops","Experimental data","Weed management trials were conducted at the Muck Crops Research Station on high organic soils.  The research goal of this work is to provide field data on crop selectivity, for selected herbicides applied at different rates and different growth stages of crop development. This data can then be submitted for Minor Crop Registration, which will then, hopefully, lead to the selected herbicides being registered for use on carrots and onions in Canada.","2021 to  2021","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP3/OQ0DC3"
"51","ARM files for weed management trials in carrots and onions conducted in 2020 and 2021","2022-03-09","Swanton, Clarence","Agricultural Sciences","linuron resistance; pigweed; weed management","Experimental data","This file contains Agriculture Research Management (ARM) formatted files only.  An ARM license is required to access these files.  These files contain the raw data for trials conducted at the Muck Crop Research Station, on high organic soils in 2020 and 2021.","2020 to  2021","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP3/EHK8MK"
"52","Weed management in Carrots and Onions 2020","2022-03-09","Swanton, Clarence; Smith, Peter","Agricultural Sciences","linuron resistance; pigweed; weed management; onion; carrot; muck crops","Experimental data","These files contain the summary data for trials conducted at the Muck Crop Research Station in 2020.","2020 to  2020","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP3/NNCQWA"
"53","Low Red to Far-Red Light Environment Alters Nitrogen Assimilation in Corn (Zea mays)","2022-03-09","Kramer, William; Swanton, Clarence","Agricultural Sciences","corn; nitrogen; plant competition; physiology","Experimental data","<p>In the absence of direct resource competition, far-red light reflected from neighbouring weeds compromises light quality (red to far-red ratio; R/FR) which inactivates phytochrome (Phy) resulting in the regulation of various physiological processes. The main objective of this research was to investigate the effects of low R/FR light on nitrogen assimilation in corn. To explore this, changes to the nitrogen assimilation pathway were measured in corn seedlings nine days post-emergence under low R/FR and control light conditions. The observed results indicate that nitrate levels increased and ferredoxin-dependent glutamine:2-oxoglutarate aminotransferase activities decreased under low R/FR light, however, no other pathway enzymes were affected. Changes in the pathway appear to be PhyB-independent, as Arabidopsis phyB mutant did not change the nitrate levels compared to wild-type Arabidopsis. The research indicates the importance of mitigating early-season weed competition and offers insight into the early physiological mechanisms involved in nitrogen utilization under resource-independent competition.</p><p>This data was collected as part of William Kramer's MSc research work (see Related Publication).</p>","2016-11 to  2021-10","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP3/IIDW9N"
"54","Data for bioassays reported in ""Early physiological and biochemical responses of soyabean to neighbouring weeds under resource-independent competition""","2022-03-21","McKenzie-Gopsill, Andrew; Swanton, Clarence","Agricultural Sciences","bioassay; soyabean; weeds","Experimental data","<p>This dataset contains the laboratory research data for all bioassays reported in the manuscript entitled, ""Early physiological and biochemical responses of soyabean to neighbouring weeds under resource-independent competition"" (see Related Publication).</p><p>This data was collected as part of Andrew McKenzie-Gopsill's PhD research work (see Related Publication).</p>"," to  ","Department of Agriculture. Ontario Agricultural College. University of Guelph.; Department of Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP3/LE47JM"
"55","Molecular and Physiological Mechanisms Underpinning the Changes in Plant Growth and Development in Arabidopsis thaliana Exposed to Low Red:Far-Red Light as a Competition Cue","2022-03-28","Berardi, Nicole; Swanton, Clarence","Agricultural Sciences","Acclimation response; Arabidopsis thaliana; low red to far-red ratio; plant competition; RNA-sequencing; shade avoidance response; singlet oxygen signaling; jasmonate-dependent defenses","Experimental data","<p>The main objective of this research was to further understand the molecular and physiological mechanisms underpinning the response to resource-independent weed competition from light detection to altered plant growth. This research provides important insights into the biological function of singlet oxygen in Arabidopsis under resource-independent weed competition.</p><p>This dataset contains the thesis abstract, materials and methods, and data from the PhD research conducted by Nicole Berardi.</p>"," to  ","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","Department of Plant Agriculture","doi:10.5683/SP3/M329HX"
